2025-03-22|2|1
2025-03-23|1|1
2025-03-25|1|1
2025-03-26|0|1
2025-03-27|0|1
2025-03-28|0|1
2025-03-29|1|1
2025-03-30|1|1
2025-04-02|0|1
2025-04-03|3|1
2025-04-04|2|1
2025-04-05|2|1
2025-04-06|2|1
2025-04-08|3|1
2025-04-09|0|1
2025-04-10|1|1
2025-04-11|1|1
2025-04-12|2|1
2025-04-13|1|1
2025-04-15|3|1
2025-04-16|0|1
2025-04-17|1|1
2025-04-18|1|1
2025-04-19|1|1
2025-04-20|0|1
2025-04-23|3|1
2025-04-24|1|1
2025-04-25|0|1
2025-04-26|2|1
2025-04-27|0|1
2025-04-29|2|1
2025-04-30|4|1
2025-05-01|2|1
2025-05-02|1|1
2025-05-03|0|1
2025-05-04|1|1
2025-05-05|1|1
2025-05-06|1|1
2025-05-07|2|1
2025-05-10|2|1
2025-05-11|3|1
2025-05-11|0|1
2025-05-13|0|1
2025-05-14|3|1
2025-05-15|1|1
2025-05-17|2|1
2025-05-17|2|1
2025-05-18|0|1
2025-05-20|2|1
2025-05-21|1|1
2025-05-22|1|1
2025-05-23|2|1
2025-05-24|2|1
2025-05-25|1|1
2025-05-27|2|1
2025-05-29|2|1
2025-05-30|1|1
2025-05-31|0|1
2025-06-01|0|1
2025-06-03|3|1
2025-06-04|3|1
2025-06-05|3|1
2025-06-06|2|1
2025-06-07|2|1
2025-06-08|2|1
2025-06-10|2|1
2025-06-11|3|1
2025-06-12|1|1
2025-06-14|2|1
2025-06-15|2|1
2025-06-17|1|1
2025-06-18|0|1
2025-06-19|1|1
2025-06-20|1|1
2025-06-22|3|1
2025-06-25|0|1
2025-06-26|2|1
2025-06-27|1|1
2025-06-28|1|1
2025-06-29|1|1
2025-07-01|2|1
2025-07-02|1|1
2025-07-03|0|1
2025-07-04|3|1
2025-07-05|0|1
2025-07-06|0|1
2025-07-08|2|1
2025-07-09|2|1
2025-07-10|0|1
2025-07-18|1|1
2025-07-19|0|1
2025-07-20|2|1
2025-07-22|1|1
2025-07-23|3|1
2025-07-24|0|1
2025-07-25|2|1
2025-07-26|1|1
2025-07-27|1|1
2025-07-29|0|1
2025-07-30|1|1
2025-07-31|1|1
2025-08-01|0|1
2025-08-02|0|1
2025-08-03|3|1
2025-08-05|0|1
2025-08-06|2|1
2025-08-07|3|1
2025-08-08|0|1
2025-08-10|0|1
2025-08-12|0|1
2025-08-13|1|1
2025-08-14|0|1
2025-08-15|2|1
2025-08-16|1|1
2025-08-17|0|1
2025-08-19|2|1
2025-08-20|1|1
2025-08-21|2|1
2025-08-22|2|1
2025-08-23|0|1
2025-08-24|3|1
2025-08-26|0|1
2025-08-27|2|1
2025-08-28|1|1
2025-08-29|1|1
2025-08-30|1|1
2025-08-31|2|1
2025-09-02|2|1
2025-09-03|4|1
2025-09-05|2|1
2025-09-09|0|1
2025-09-10|1|1
2025-09-11|0|1
2025-09-13|2|1
2025-09-16|1|1
2025-09-19|3|1
2025-09-20|0|1
2025-09-23|1|1
2025-09-24|0|1
2025-09-25|1|1
2025-09-26|3|1
2025-09-28|2|1
2025-09-29|0|1
2025-09-30|1|1
