table_name,column_name,type,is_primary_key,foreign_key
awards,id,INTEGER,True,
awards,year,INTEGER,False,
awards,award_type,VARCHAR(50),False,
awards,category,VARCHAR(50),False,
awards,player_name,VARCHAR(100),False,
awards,team_name,VARCHAR(50),False,
awards,created_at,DATETIME,False,
awards,updated_at,DATETIME,False,
crawl_runs,id,INTEGER,True,
crawl_runs,label,VARCHAR(128),False,
crawl_runs,started_at,DATETIME,False,
crawl_runs,finished_at,DATETIME,False,
crawl_runs,active_count,INTEGER,False,
crawl_runs,retired_count,INTEGER,False,
crawl_runs,staff_count,INTEGER,False,
crawl_runs,confirmed_profiles,INTEGER,False,
crawl_runs,heuristic_only,INTEGER,False,
crawl_runs,created_at,DATETIME,False,
game,id,INTEGER,True,
game,game_id,VARCHAR(20),False,
game,game_date,DATE,False,
game,stadium,VARCHAR(50),False,
game,home_team,VARCHAR(20),False,
game,away_team,VARCHAR(20),False,
game,away_score,INTEGER,False,
game,home_score,INTEGER,False,
game,away_pitcher,VARCHAR(30),False,
game,home_pitcher,VARCHAR(30),False,
game,winning_team,VARCHAR(20),False,
game,winning_score,INTEGER,False,
game,season_id,INTEGER,False,
game,created_at,DATETIME,False,
game,updated_at,DATETIME,False,
game_batting_stats,id,INTEGER,True,
game_batting_stats,game_id,VARCHAR(20),False,game(game_id)
game_batting_stats,team_side,VARCHAR(5),False,
game_batting_stats,team_code,VARCHAR(10),False,
game_batting_stats,player_id,INTEGER,False,
game_batting_stats,player_name,VARCHAR(64),False,
game_batting_stats,batting_order,INTEGER,False,
game_batting_stats,is_starter,BOOLEAN,False,
game_batting_stats,appearance_seq,INTEGER,False,
game_batting_stats,position,VARCHAR(8),False,
game_batting_stats,plate_appearances,INTEGER,False,
game_batting_stats,at_bats,INTEGER,False,
game_batting_stats,runs,INTEGER,False,
game_batting_stats,hits,INTEGER,False,
game_batting_stats,doubles,INTEGER,False,
game_batting_stats,triples,INTEGER,False,
game_batting_stats,home_runs,INTEGER,False,
game_batting_stats,rbi,INTEGER,False,
game_batting_stats,walks,INTEGER,False,
game_batting_stats,intentional_walks,INTEGER,False,
game_batting_stats,hbp,INTEGER,False,
game_batting_stats,strikeouts,INTEGER,False,
game_batting_stats,stolen_bases,INTEGER,False,
game_batting_stats,caught_stealing,INTEGER,False,
game_batting_stats,sacrifice_hits,INTEGER,False,
game_batting_stats,sacrifice_flies,INTEGER,False,
game_batting_stats,gdp,INTEGER,False,
game_batting_stats,avg,FLOAT,False,
game_batting_stats,obp,FLOAT,False,
game_batting_stats,slg,FLOAT,False,
game_batting_stats,ops,FLOAT,False,
game_batting_stats,iso,FLOAT,False,
game_batting_stats,babip,FLOAT,False,
game_batting_stats,extra_stats,JSON,False,
game_batting_stats,created_at,DATETIME,False,
game_batting_stats,updated_at,DATETIME,False,
game_batting_stats,uniform_no,VARCHAR(10),False,
game_events,id,INTEGER,True,
game_events,game_id,VARCHAR(20),False,game(game_id)
game_events,event_seq,INTEGER,False,
game_events,inning,INTEGER,False,
game_events,inning_half,VARCHAR(6),False,
game_events,outs,INTEGER,False,
game_events,batter_id,INTEGER,False,
game_events,batter_name,VARCHAR(64),False,
game_events,pitcher_id,INTEGER,False,
game_events,pitcher_name,VARCHAR(64),False,
game_events,description,TEXT,False,
game_events,event_type,VARCHAR(32),False,
game_events,result_code,VARCHAR(16),False,
game_events,rbi,INTEGER,False,
game_events,bases_before,VARCHAR(3),False,
game_events,bases_after,VARCHAR(3),False,
game_events,extra_json,JSON,False,
game_events,created_at,DATETIME,False,
game_events,updated_at,DATETIME,False,
game_events,wpa,FLOAT,False,
game_events,win_expectancy_before,FLOAT,False,
game_events,win_expectancy_after,FLOAT,False,
game_events,score_diff,INTEGER,False,
game_events,base_state,INTEGER,False,
game_events,home_score,INTEGER,False,
game_events,away_score,INTEGER,False,
game_inning_scores,id,INTEGER,True,
game_inning_scores,game_id,VARCHAR(20),False,game(game_id)
game_inning_scores,team_side,VARCHAR(5),False,
game_inning_scores,team_code,VARCHAR(10),False,
game_inning_scores,inning,INTEGER,False,
game_inning_scores,runs,INTEGER,False,
game_inning_scores,is_extra,BOOLEAN,False,
game_inning_scores,created_at,DATETIME,False,
game_inning_scores,updated_at,DATETIME,False,
game_lineups,id,INTEGER,True,
game_lineups,game_id,VARCHAR(20),False,game(game_id)
game_lineups,team_side,VARCHAR(5),False,
